"PUBID","YSCH-37000","YHEA-1900","YEXP-1500","YEXP-2000","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","PC8-092","PC9-050","PC11-008","PC11-014","CV_HH_POV_RATIO","CV_YTH_REL_HH_AGE_12","CV_YTH_REL_HH_AGE_2","CV_YTH_REL_HH_AGE_6","CV_HH_UNDER_18","CV_SAMPLE_TYPE","CV_HGC_BIO_DAD","CV_HGC_BIO_MOM","KEY!RACE_ETHNICITY","TRANS_GPA","CVC_YTH_REL_HH_AGE2_YCHR","CVC_YTH_REL_HH_AGE6_YCHR","CVC_YTH_REL_HH_AGE12_YCHR","CVC_SAT_MATH_SCORE_2007","CVC_SAT_VERBAL_SCORE_2007","CVC_ACT_SCORE_2007","CVC_HIGHEST_DEGREE_EVER"
7877,1,-4,100,50,2,5,1980,0,1,100,50,121,4,4,4,3,0,9,10,2,1,-4,-4,-4,-4,-4,-4,2
7878,1,-4,100,75,2,11,1981,0,1,100,50,121,4,4,4,3,0,9,10,2,0,-4,-4,-4,-4,-4,-3,1
7879,1,-4,-4,-4,1,8,1982,-4,-4,-4,-4,-4,-4,-4,-4,3,0,95,3,2,-4,-4,-4,-4,-4,-4,-4,0
7880,3,-4,0,50,2,11,1980,0,3,100,35,16,4,4,4,5,0,10,13,1,-4,4,4,4,-4,-4,-4,0
7881,2,-4,90,80,1,5,1981,-4,-4,-4,-4,137,-4,-4,-4,1,0,12,16,1,-4,1,1,1,-4,-4,-4,0
7882,4,-4,100,100,1,9,1981,0,3,100,50,64,4,4,4,1,0,-3,9,1,2,-4,-4,-4,-4,-4,-4,2
7883,2,-4,100,50,1,10,1980,0,3,100,50,37,4,4,4,2,0,12,12,1,-4,-4,-4,-4,-3,-3,-3,1
7884,3,-4,20,25,1,12,1981,0,3,75,50,37,4,4,4,2,0,12,12,1,-4,-4,-4,-4,-4,-4,-4,0
7885,3,-4,100,10,1,4,1981,0,0,100,50,11,8,4,4,5,0,12,11,1,-4,-4,-4,-4,-4,-4,-4,0
7886,3,-4,-4,-4,2,12,1982,0,3,-4,-4,11,8,4,8,5,0,12,11,1,-4,-4,-4,-4,2,-3,-4,2
7887,2,-4,100,100,2,7,1981,1,3,100,100,18,4,4,4,2,0,-3,11,1,-4,-4,-4,-4,-4,-4,-4,2
7888,3,-4,-4,-4,2,9,1982,1,3,-4,-4,18,4,4,4,2,0,-3,11,1,-4,-4,-4,-4,-4,-4,-4,1
7889,2,-4,100,50,1,5,1980,-4,-4,-4,-4,-4,-4,-4,-4,2,0,-4,10,1,-4,4,4,4,-4,-4,-4,0
7890,2,-4,-4,-4,1,6,1982,-4,-4,-4,-4,-4,-4,-4,-4,2,0,-4,10,1,-4,4,4,4,-4,-4,-4,1
7891,3,-4,100,50,1,12,1981,0,3,100,80,127,4,4,4,4,0,-4,14,1,-4,-4,-4,-4,-3,-3,-3,2
7892,2,-4,-4,-4,2,10,1983,0,0,-4,-4,127,4,4,4,4,0,-4,14,1,-4,-4,-4,-4,-4,-4,-4,1
7893,1,-4,-4,-4,1,4,1982,-4,-4,-4,-4,-4,-4,-4,-4,5,0,-4,-3,1,-4,4,4,8,-4,-4,-4,0
7894,3,-4,50,50,1,11,1981,0,3,50,50,-3,4,4,2,2,0,12,11,1,-4,-4,-4,-4,-3,-3,-4,2
7895,4,-4,-4,-4,2,5,1983,0,3,-4,-4,12,4,4,4,5,0,12,10,1,-4,-4,-4,-4,-4,-4,3,3
7896,2,-4,-4,-4,2,5,1983,0,3,-4,-4,12,4,4,4,5,0,12,10,1,1,-4,-4,-4,-4,-4,3,3
7897,2,-4,-4,-4,1,9,1983,0,3,-4,-4,40,4,5,5,5,0,12,9,1,-4,-4,-4,-4,-3,-3,-4,0
7898,2,-4,-4,-4,1,11,1984,0,3,-4,-4,12,4,4,8,5,0,-3,10,1,1,-4,-4,-4,-4,-4,-4,4
7899,2,-4,-4,-4,2,10,1982,0,3,-4,-4,47,4,4,4,1,0,10,11,1,-4,-4,-4,-4,-3,-3,5,2
7900,1,-4,-4,-4,1,5,1982,1,3,-4,-4,24,4,2,2,6,0,12,12,1,-4,-4,-4,-4,-4,-4,3,1
7901,2,-4,100,100,2,8,1980,0,0,100,100,30,4,4,4,3,0,12,12,1,2,-4,-4,-4,-4,-4,3,2
7902,3,-4,-4,-4,1,2,1983,0,0,-4,-4,30,4,4,4,3,0,12,12,1,-4,-4,-4,-4,-4,-4,-4,3
7903,3,-4,100,85,2,10,1980,0,0,100,50,123,4,4,4,2,0,12,14,1,2,4,4,4,-4,-4,-4,2
7904,2,-4,-4,-4,2,3,1982,0,1,-4,-4,207,4,4,4,2,0,14,13,1,3,-4,-4,-4,-4,-4,4,3
7905,1,-4,-4,-4,1,4,1983,0,3,-4,-4,-3,8,8,8,2,0,12,-3,1,-4,-4,-4,-4,-4,-4,-4,0
7906,2,-4,-4,-4,2,2,1984,-4,-4,-4,-4,-4,-4,-4,-4,2,0,12,12,1,4,1,4,4,-3,-3,4,5
7907,1,-4,-4,-4,2,5,1982,-4,-4,-4,-4,-4,-4,-4,-4,1,0,20,16,1,2,1,1,1,-4,-4,3,4
7908,2,-4,-4,-4,2,3,1984,0,2,-4,-4,36,1,4,4,4,0,11,10,1,-4,-4,-4,-4,-4,-4,-4,1
7909,2,-4,-4,-4,2,8,1982,-4,-4,-4,-4,36,-4,-4,-4,4,0,-3,-3,1,-4,1,1,1,-4,-4,-4,0
7910,2,-4,100,50,1,1,1981,0,1,100,50,-3,1,1,1,4,0,12,14,1,2,-4,-4,-4,-4,-4,-4,2
7911,2,-4,100,0,2,10,1980,0,3,100,0,37,1,1,1,4,0,12,12,1,-3,-4,-4,-4,-3,-3,-4,0
7912,2,-4,-4,-4,1,5,1984,0,3,-4,-4,37,1,1,1,4,0,12,12,1,-3,-4,-4,-4,-4,-4,3,2
7913,2,-4,100,100,1,1,1980,0,1,100,100,59,4,4,4,8,0,10,11,1,-4,-4,-4,-4,3,3,-4,0
7914,3,-4,100,1,1,1,1981,0,1,100,25,59,1,1,1,8,0,10,11,1,-3,-4,-4,-4,-4,-4,-4,1
7915,2,-4,-4,-4,1,10,1984,0,3,-4,-4,44,-1,-1,-1,6,0,12,11,1,2,4,4,4,-4,-4,-4,2
7916,2,-4,-4,-4,1,4,1982,0,1,-4,-4,16,4,4,4,3,0,-4,12,1,-4,-4,-4,-4,-4,-4,3,2
7917,3,-4,-4,-4,1,10,1983,0,1,-4,-4,16,4,4,4,3,0,-4,12,1,-4,-4,-4,-4,-4,-4,-4,3
7918,3,-4,100,100,2,5,1980,0,1,100,100,317,1,1,1,1,0,12,11,1,3,-4,-4,-4,-4,-4,4,2
7919,2,-4,50,0,1,7,1980,0,1,100,25,160,4,4,4,3,0,12,12,1,-3,-4,-4,-4,-4,-4,-4,0
7920,2,-4,-4,-4,2,7,1982,0,1,-4,-4,160,1,1,1,3,0,12,12,1,-4,-4,-4,-4,-3,-3,-3,2
7921,2,-4,100,50,1,1,1981,0,1,100,10,157,4,4,4,4,0,12,11,1,2,-4,-4,-4,-4,-4,-4,2
7923,2,-4,-4,-4,2,8,1984,0,0,-4,-4,51,5,4,5,3,0,16,14,2,3,-4,-4,-4,4,4,-4,2
7924,3,-4,100,75,2,9,1981,-4,-4,-4,-4,47,-4,-4,-4,3,0,-3,-3,2,3,-4,-4,-4,-4,-4,-4,2
7925,3,-4,-4,-4,2,6,1983,-4,-4,-4,-4,-4,-4,-4,-4,3,0,-3,-3,2,0,4,4,4,-4,-4,-4,0
7926,2,-4,-4,-4,2,2,1984,0,1,-4,-4,601,4,3,3,1,0,16,16,2,2,-4,-4,-4,3,2,-4,2
7927,2,-4,-4,-4,2,1,1984,0,3,-4,-4,-3,4,4,4,3,0,12,13,1,2,-4,-4,-4,3,4,-4,2
7928,3,-4,-4,-4,1,5,1983,0,1,-4,-4,308,4,4,4,2,0,7,12,1,0,-4,-4,-4,-4,-4,-4,1
7929,2,-4,-4,-4,1,7,1983,0,3,-4,-4,415,4,4,4,3,0,13,12,1,-4,4,4,8,-4,-4,-4,-3
7930,1,-4,-4,-4,1,8,1983,0,3,-4,-4,415,8,8,8,3,0,-4,-3,1,1,4,4,8,-4,-4,-4,2
7931,2,-4,100,100,2,7,1980,0,3,100,100,404,4,4,4,2,0,-3,-3,1,-4,1,1,1,3,3,-4,5
7932,1,-4,-4,-4,2,6,1983,0,1,-4,-4,921,1,1,1,1,0,12,12,1,3,-4,-4,-4,2,3,-4,2
7933,1,-4,-4,-4,1,4,1982,1,1,-4,-4,436,4,4,4,4,0,-3,12,1,3,-4,-4,-4,3,2,-4,4
7934,1,-4,-4,-4,1,2,1984,1,1,-4,-4,436,4,4,4,4,0,-3,12,1,-4,-4,-4,-4,2,2,2,4
7935,2,-4,-4,-4,1,5,1984,1,1,-4,-4,736,1,1,1,1,0,12,14,1,2,-4,-4,-4,3,2,3,2
7936,2,-4,-4,-4,1,4,1982,0,1,-4,-4,1627,1,1,1,1,0,16,16,1,-4,-4,-4,-4,3,4,5,4
7937,2,-4,-4,-4,2,10,1984,0,1,-4,-4,157,2,4,4,2,0,-4,13,1,0,-4,-4,-4,-4,-4,-4,1
7938,1,-4,-4,-4,2,5,1984,0,3,-4,-4,18,4,4,4,1,0,-3,12,1,-3,-4,-4,-4,-4,-4,-4,0
